# АНОН МГН — Битва мнений
# Часть 5: вопросы 401–500
# Максимальный упор на любовь, симпатию, отношения, доверие, ревность, свидания и бывших.
# Есть отдельные вопросы про свидания в Магнитогорске.
# Каждый вопрос имеет 2 логичных сопоставимых варианта.
# Пары не повторяются с вопросами 001–400.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

446 | Что милее? | случайный комплимент | случайная забота | любовь
447 | Что лучше для отношений? | много общих интересов | уметь уважать разные интересы | любовь
448 | Что важнее? | уметь извиняться | уметь прощать | любовь
449 | Что приятнее? | когда человек пишет после встречи первым | когда предлагает следующую встречу первым | любовь
450 | Что сильнее говорит о любви? | быть рядом в плохой день | радоваться твоим успехам | любовь
451 | Что важнее при ревности? | говорить прямо | не устраивать проверки | доверие
452 | Что хуже для отношений? | постоянно подозревать | постоянно оправдываться | доверие
453 | Что важнее? | доверять человеку | уважать его границы | доверие
454 | Что лучше, если что-то не нравится? | сказать сразу | выбрать спокойный момент | доверие
455 | Что важнее в споре? | не переходить на оскорбления | не припоминать старые ошибки | доверие
456 | Что хуже? | игнор после ссоры | сарказм вместо разговора | доверие
457 | Что важнее в отношениях? | иметь своих друзей | иметь общее время вдвоём | доверие
458 | Что лучше? | обсудить недопонимание сразу | не делать выводы без разговора | доверие
459 | Что важнее? | не контролировать переписки | не требовать постоянных отчётов | доверие
460 | Что хуже? | обидеться и молчать | обидеться и начать колоть словами | доверие
461 | Что важнее после ошибки? | честно признать её | показать, что сделал выводы | доверие
462 | Что лучше сохраняет отношения? | говорить о проблемах | не копить обиды | доверие
463 | Что важнее? | не ревновать к друзьям | не запрещать общаться с друзьями | доверие
464 | Что лучше при конфликте? | слушать до конца | не повышать голос | доверие
465 | Что хуже? | манипулировать молчанием | манипулировать чувством вины | доверие
466 | Что важнее? | уметь сказать «нет» | уметь принять чужое «нет» | границы
467 | Что лучше? | дать человеку побыть одному | спросить, нужна ли поддержка | границы
468 | Что важнее в доверии? | не проверять телефон | не требовать пароли | границы
469 | Что хуже? | делать вид, что всё нормально | взрываться после долгого молчания | доверие
470 | Что лучше после серьёзного разговора? | обнять друг друга | дать друг другу время всё обдумать | доверие
471 | Куда лучше пойти вдвоём в Магнитогорске? | Парк Притяжение | набережная | мгн_любовь
472 | Что лучше для первого свидания в МГН? | Притяжение вечером | кофейня в центре | мгн_любовь
473 | Где приятнее долго разговаривать вдвоём? | на Аллее | у воды | мгн_любовь
474 | Что выберешь для свидания зимой? | Гостинка | тёплое кафе | мгн_любовь
475 | Куда лучше пойти после кино? | прогуляться по центру | поехать в Притяжение | мгн_любовь
476 | Что романтичнее вечером? | огни Притяжения | ночной центр Магнитогорска | мгн_любовь
477 | Где лучше встретиться после учёбы? | у Гостинки | на Аллее | мгн_любовь
478 | Что выбрать для спокойного свидания? | кофейня | тихая прогулка по Аллее | мгн_любовь
479 | Куда лучше поехать вдвоём в выходной? | Семейный парк | центр города | мгн_любовь
480 | Что приятнее на свидании в МГН? | гулять без маршрута | заранее выбрать пару мест | мгн_любовь
481 | Что лучше для летнего вечера вдвоём? | Притяжение | прогулка по центру | мгн_любовь
482 | Где легче разговориться? | в кафе | на долгой прогулке | мгн_любовь
483 | Что выберешь после встречи? | проводить человека | написать сразу после встречи | мгн_любовь
484 | Что лучше для неожиданной встречи? | Гостинка | набережная | мгн_любовь
485 | Что больше по атмосфере для двоих? | вечерняя Аллея | ночное Притяжение | мгн_любовь
486 | Что лучше после расставания? | взять паузу в общении | сразу остаться друзьями | бывшие
487 | Что сложнее отпустить? | человека | общие воспоминания | бывшие
488 | Что хуже после расставания? | постоянно проверять профиль | перечитывать старые сообщения | бывшие
489 | Что лучше, если чувства прошли? | сказать честно | не затягивать разговор | бывшие
490 | Что важнее после расставания? | дать себе время | не винить себя за всё | бывшие
491 | Что сложнее? | удалить совместные фото | перестать ждать сообщения | бывшие
492 | Что лучше при случайной встрече с бывшим человеком? | спокойно поздороваться | просто пройти мимо | бывшие
493 | Что хуже? | сравнивать нового человека с бывшим | постоянно вспоминать прошлые отношения | бывшие
494 | Что важнее после тяжёлых отношений? | вернуть доверие к людям | научиться ставить границы | бывшие
495 | Что лучше помогает отпустить? | новые впечатления | время на себя | бывшие
496 | Что сложнее услышать? | «давай останемся друзьями» | «мне нужно время» | бывшие
497 | Что важнее, если отношения закончились? | не унижаться ради возвращения | не мстить | бывшие
498 | Что лучше? | сохранить хорошие воспоминания | полностью закрыть эту историю | бывшие
499 | Что важнее перед новыми отношениями? | разобраться со старыми чувствами | понять, чего хочешь дальше | бывшие
500 | Что сильнее показывает здоровую любовь? | рядом можно быть собой | рядом не страшно говорить правду | любовь
