# АНОН МГН — Битва мнений
# Часть 1: вопросы 001–100
# Каждый вопрос имеет ровно 2 логичных сопоставимых ответа.
# Одинаковые пары ответов не повторяются.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

075 | Что важнее? | свободное время | деньги | жизнь
076 | Что чаще смотришь? | короткие видео | длинные видео | интернет
077 | Что лучше отправлять другу? | мемы | музыку | интернет
078 | Что приятнее в Telegram? | стикеры | реакции | интернет
079 | Что выберешь вечером? | YouTube | сериал | интернет
080 | Что лучше? | играть одному | играть с друзьями | игры
081 | Что важнее в игре? | сюжет | геймплей | игры
082 | Что выберешь? | открытый мир | линейный сюжет | игры
083 | Как лучше играть? | в наушниках | с колонками | игры
084 | Что интереснее? | гонки | шутеры | игры
085 | Что выберешь? | играть ночью | играть днём | игры
086 | Что лучше для вечера? | комедия | хоррор | кино
087 | Что приятнее смотреть? | фильм | сериал | кино
088 | Что важнее в фильме? | сюжет | атмосфера | кино
089 | Что выберешь? | аниме | обычный сериал | кино
090 | Что лучше? | кинотеатр | смотреть дома | кино
091 | Что легче? | контрольная | ответ у доски | учёба
092 | Где удобнее сидеть? | на первой парте | на последней парте | учёба
093 | Как лучше делать домашку? | сразу после учёбы | вечером | учёба
094 | Что тебе ближе? | работать в паре | делать всё самому | учёба
095 | Что интереснее? | история | география | учёба
096 | Что выберешь? | информатика | физкультура | учёба
097 | Что проще? | математика | русский язык | учёба
098 | Что лучше на перемене? | гулять по школе | сидеть в классе | учёба
099 | Как удобнее запоминать? | писать конспект | читать несколько раз | учёба
100 | Что приятнее после уроков? | сразу домой | погулять с друзьями | учёба
